#,Header,Format,20020003,,X1,,,X2,,,Y1,,,Y2,
#,Ref,Ch:,Board,0,-,Channel,0,,,,,,,,
#,[Bref][Cref],Tstamp_ps,Energy,:,[Bx][Cx],deltaT_ns,Energy,...,,,,,,,
[00][00],4681662861280,437,:,[00][01],21.156,0,[00][02],105.531,877,[00][03],65.906,377,[00][04],84.281,350
[00][00],4692435361217,236,:,[00][01],21.594,0,[00][02],81.219,272,[00][03],128.157,212,[00][04],21.969,222
[00][00],4722782839327,558,:,[00][01],21.047,175,[00][02],62.609,637,[00][03],37.984,568,[00][04],111.609,538
[00][00],4737096276936,245,:,[00][01],21.064,0,[00][02],100.375,503,[00][03],50.5,206,[00][04],100.625,186
[00][00],4841695083936,516,:,[00][01],21.125,0,[00][02],92.625,782,[00][03],44.219,404,[00][04],105.875,385
[00][00],4959340523116,764,:,[00][01],21.164,503,[00][02],42.476,816,[00][03],68.414,667,[00][04],80.633,674
[00][00],4960740000936,741,:,[00][01],21.469,19,[00][02],100.969,1414,[00][03],116.5,608,[00][04],31.625,616
[00][00],4973751560788,1437,:,[00][01],21.195,179,[00][02],93.32,2290,[00][03],63.429,1172,[00][04],81.023,1152
[00][00],4994334826405,787,:,[00][01],21.531,0,[00][02],108.969,1704,[00][03],69.031,627,[00][04],60.281,633
[00][00],5030411755420,1466,:,[00][01],21.188,786,[00][02],95.547,2638,[00][03],44.266,1418,[00][04],104.079,1305
[00][00],5032768704522,1383,:,[00][01],21.086,741,[00][02],77.883,1571,[00][03],92.789,1225,[00][04],51.602,1225
[00][00],5044876720170,1086,:,[00][01],21.11,0,[00][02],86.672,1237,[00][03],86.454,887,[00][04],57.83,895
[00][00],5128108824780,263,:,[00][01],21.406,0,[00][02],94.156,437,[00][03],53.906,200,[00][04],97.22,178
[00][00],5188719512592,443,:,[00][01],21.408,0,[00][02],85.969,574,[00][03],69.408,400,[00][04],80.969,352
[00][00],5196528091006,919,:,[00][01],20.961,198,[00][02],108.994,2016,[00][03],32.258,804,[00][04],116.994,766
[00][00],5256116004389,433,:,[00][01],21.172,69,[00][02],51.297,401,[00][03],78.922,329,[00][04],70.735,304
[00][00],5325247384694,1206,:,[00][01],21.07,628,[00][02],67.648,1538,[00][03],89.867,1235,[00][04],57.711,1258
[00][00],5477942550030,220,:,[00][01],21.219,0,[00][02],75.656,226,[00][03],58.656,195,[00][04],92.031,212
[00][00],5499536683401,2321,:,[00][01],21.254,2841,[00][02],20.098,2659,[00][03],27.348,2368,[00][04],87.223,2148
[00][00],5569745858764,479,:,[00][01],21.516,5,[00][02],88.453,868,[00][03],127.61,501,[00][04],21.766,513
[00][00],5631955559467,560,:,[00][01],21.469,0,[00][02],34.907,626,[00][03],57.533,601,[00][04],93.157,539
